Name,Side
Kyle Schwarber,L
Kyle Stowers,L
Kyle Tucker,L
LaMonte Wade Jr.,L
Lars Nootbaar,L
Lawrence Butler,L
Liam Hicks,L
Livan Soto,L
Logan Driscoll,L
Luis Arraez,L
Luis García Jr.,L
Luis Guillorme,L
Luke Raley,L
MJ Melendez,L
Masataka Yoshida,L
Matt Beaty,L
Matt Carpenter,L
Matt Mervis,L
Matt Olson,L
Matt Thaiss,L
Matt Wallner,L
Max Kepler,L
Michael Brantley,L
Michael Busch,L
Michael Conforto,L
Michael Harris II,L
Michael Massey,L
Michael Pérez,L
Michael Siani,L
Mickey Moniak,L
Mike Ford,L
Mike Moustakas,L
Mike Tauchman,L
Mike Yastrzemski,L
Miles Mastrobuoni,L
Nathan Lukes,L
Nathaniel Lowe,L
Nick Gordon,L
Nick Kurtz,L
Nick Martini,L
Nick Maton,L
Nick Pratto,L
Nicky Lopez,L
Niko Kavadas,L
Nolan Gorman,L
Nolan Jones,L
Nolan Schanuel,L
Oliver Dunn,L
Omar Narváez,L
Oneil Cruz,L
Oscar Colás,L
Parker Meadows,L
Pavin Smith,L
Pete Crow-Armstrong,L
Rafael Devers,L
Rafael Ortega,L
Raimel Tapia,L
Reese McGuire,L
Richie Palacios,L
Riley Greene,L
Rob Brantly,L
Rougned Odor,L
Rowdy Tellez,L
Ryan McMahon,L
Ryan Noda,L
Ryan O'Hearn,L
Sal Frelick,L
Sam Hilliard,L
Seth Brown,L
Shohei Ohtani,L
Spencer Horwitz,L
Steven Kwan,L
TJ Friedl,L
Taylor Kohlwey,L
Taylor Trammell,L
Terrin Vavra,L
Tirso Ornelas,L
Tommy La Stella,L
Tony Kemp,L
Travis Blankenhorn,L
Travis Jankowski,L
Trent Grisham,L
Trenton Brooks,L
Trevor Larnach,L
Trey Cabbage,L
Trey Sweeney,L
Tristan Gray,L
Triston Casas,L
Tsung-Che Cheng,L
Tucker Barnhart,L
Tucupita Marcano,L
Tyler Black,L
Tyler Naquin,L
Tyler Soderstrom,L
Tyler Wade,L
Victor Scott II,L
Vinnie Pasquantino,L
Wade Meckler,L
Will Benson,L
Will Brennan,L
Will Wagner,L
Willie Calhoun,L
Wilyer Abreu,L
Yordan Alvarez,L
Zac Veen,L
Zach DeLoach,L
Zach McKinstry,L
Zack Collins,L
Aaron Hicks,S
Abraham Almonte,S
Abraham Toro,S
Adael Amador,S
Adley Rutschman,S
Andrew Knapp,S
Angel Martínez,S
Anthony Santander,S
Blake Perkins,S
Brayan Rocchio,S
Brooks Baldwin,S
Brooks Lee,S
Bryan Reynolds,S
Bryce Johnson,S
Cal Raleigh,S
Carlos Santana,S
Cole Tucker,S
Cooper Hummel,S
Drew Millas,S
Drew Romo,S
Drew Waters,S
Dylan Carlson,S
Edgar Quero,S
Eduardo Escobar,S
Ehire Adrianza,S
Elly De La Cruz,S
Endy Rodríguez,S
Francisco Lindor,S
Francisco Mejía,S
Geraldo Perdomo,S
Greg Allen,S
Greg Jones,S
Gustavo Campero,S
Henry Ramos,S
Ian Happ,S
Ildemaro Vargas,S
Isaac Collins,S
Jake Mangum,S
Jasson Domínguez,S
Jeimer Candelario,S
Johan Camargo,S
Jonah Heim,S
Jonatan Clase,S
Jonathan Araúz,S
Jorge Barrosa,S
Jorge Polanco,S
Jose Herrera,S
Josh Bell,S
José Ramírez,S
Juniel Querecuto,S
Jurickson Profar,S
Keibert Ruiz,S
Ketel Marte,S
Leo Rivas,S
Leody Taveras,S
Luis Rengifo,S
Michael Toglia,S
Mickey Gasper,S
Nasim Nuñez,S
Nick Sogard,S
Niko Goodrum,S
Oswaldo Cabrera,S
Ozzie Albies,S
Patrick Bailey,S
Rafael Marchán,S
Robbie Grossman,S
Rodolfo Castro,S
Ronny Mauricio,S
Ronny Simon,S
Sam Haggerty,S
Sandy León,S
Steward Berroa,S
Taylor Walls,S
Tommy Edman,S
Tyler Heineman,S
Victor Caratini,S
Vidal Bruján,S
Wander Franco,S
Wenceel Pérez,S
Willi Castro,S
Xavier Edwards,S
Yasmani Grandal,S
Yonny Hernández,S
Yoán Moncada,S
