"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Holliday, Jackson","702616","134","7.3",36.6,"109.6","90.5","101","94.5","87.8","425","153","402","61",45.5,"12",9,6.3
"Vientos, Mark","668901","134","11.4",33.6,"110.4","90.4","100.2","94.4","85.7","403","164","372","60",44.8,"9",6.7,4.6
"Meyers, Jake","676694","134","9.2",33.6,"107.9","88.8","99.5","92.2","86.4","409","150","378","51",38.1,"6",4.5,3.3
"Correa, Carlos","621043","134","4.2",29.9,"112.6","89.2","101.5","92.9","87","458","137","416","55",41,"7",5.2,4
"Clement, Ernie","676391","133","18.3",35.3,"108.9","86.6","95.3","88","84.8","385","164","365","30",22.6,"3",2.3,1.8
"Sweeney, Trey","700242","133","9.1",29.3,"110.8","88.4","98.9","92.1","85.6","409","149","382","45",33.8,"8",6,4.1
"Raleigh, Cal","663728","132","23.7",38.6,"111.9","92.1","103.2","96.6","87.8","432","209","384","63",47.7,"31",23.5,13.4
"Abrams, CJ","682928","132","15",39.4,"112.7","90.1","100.8","91.9","89.4","414","176","386","59",44.7,"13",9.8,7.2
"Steer, Spencer","668715","132","15.5",34.1,"106.5","86.8","97.5","90.7","83","392","157","385","41",31.1,"8",6.1,4
"Smith, Josh","669701","131","14.2",32.1,"108.2","88","98.3","92.3","84.2","403","158","393","46",35.1,"7",5.3,3.9
"Freeman, Freddie","518692","131","16.1",45.8,"111.6","92.2","101.2","94","89.2","418","196","408","61",46.6,"16",12.2,8.5
"Jung, Josh","673962","131","12.7",41.2,"108","87.9","100.7","94.7","82.2","418","175","384","55",42,"14",10.7,7.7
"Henderson, Gunnar","683002","131","9.6",27.5,"113.3","94.5","104.9","97.2","95.2","405","150","391","74",56.5,"12",9.2,5.8
"Frazier, Adam","624428","131","16.2",32.8,"101.1","84.7","93.7","87.6","82.6","365","165","350","21",16,"0",0,0
"Stowers, Kyle","669065","129","14",39.5,"110.3","91.6","103.9","95.9","87","423","184","399","70",54.3,"26",20.2,12.4
"Doyle, Brenton","686668","129","13.2",36.4,"111.3","90","101.3","94.3","86","421","177","393","57",44.2,"19",14.7,10
"Yastrzemski, Mike","573262","129","16.9",35.7,"106.8","90.5","99.8","93.9","86.2","387","181","375","55",42.6,"11",8.5,5.6
"Mullins, Cedric","656775","128","23.9",35.2,"108.4","89.4","99.6","93","85.3","396","193","382","50",39.1,"10",7.8,4.9
"Bleday, JJ","668709","127","22",28.3,"109.9","88.8","99.7","91.5","88.8","402","176","371","51",40.2,"5",3.9,2.6
"Santander, Anthony","623993","127","18",29.1,"110.4","90.1","100","93.7","88.5","409","168","393","52",40.9,"6",4.7,3
"O'Hearn, Ryan","656811","127","9",40.9,"109.4","90.5","101.2","94","87.1","405","160","388","64",50.4,"12",9.4,6.7
"Langford, Wyatt","694671","127","15.4",32.3,"113.1","91.7","102.6","97.1","85.6","431","174","390","63",49.6,"18",14.2,9.2
"Kepler, Max","596146","127","14.7",33.1,"109.4","90.4","101","94.1","88.6","422","178","387","61",48,"15",11.8,8
"Soler, Jorge","624585","126","14.1",33.3,"112.7","89.7","101.1","95","87.1","417","165","391","51",40.5,"14",11.1,6.8
"Kiner-Falefa, Isiah","643396","126","5.5",34.1,"105.5","86.2","96.1","89.2","85","382","133","382","35",27.8,"2",1.6,1.2
"McCutchen, Andrew","457705","125","12.7",28,"110.2","88.9","99.7","94.4","86.9","417","152","406","52",41.6,"12",9.6,6.4
"Ozuna, Marcell","542303","125","14.5",35.2,"112.1","92.9","103.6","97","89","464","177","416","67",53.6,"15",12,6.8
