"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Canning, Griffin","656288","142","7.2",28.9,"113.8","91.5","81.5","95.4","90.3","432","145","370","69",48.6,"12",8.5,5.7
"Quantrill, Cal","615698","142","16.1",40.8,"111.8","91.4","81.8","93.9","88.9","433","189","398","62",43.7,"14",9.9,7.4
"King, Michael","650633","142","17",32.4,"111.7","88","75.7","92.7","86.2","413","167","379","56",39.4,"16",11.3,7.1
"Gore, MacKenzie","669022","142","16.8",38.7,"113.1","91.7","81.5","94.3","90.6","429","183","392","69",48.6,"16",11.3,6.3
"Sánchez, Cristopher","650911","141","2.8",26.2,"112.6","89.4","78.3","91.9","88.1","418","132","382","57",40.4,"7",5,3
"Pivetta, Nick","601713","141","19.9",35.5,"115.5","89","77.7","94","82.7","467","187","416","59",41.8,"18",12.8,8.1
"Williams, Gavin","668909","141","12.1",37.6,"115","90.6","80","95.2","85.2","445","184","399","58",41.1,"17",12.1,7.3
"Rodriguez, Eduardo","593958","141","18.5",36.9,"109.5","88.5","77.6","92.8","85.9","438","180","400","51",36.2,"12",8.5,5.7
"Povich, Cade","700249","141","11.4",38.3,"112.1","91","80.5","95.8","86.8","458","174","416","68",48.2,"17",12.1,8.4
"Mlodzinski, Carmen","669387","139","12.1",38.1,"113","90.1","79.4","93.8","86.9","435","159","406","57",41,"11",7.9,6.1
"Rea, Colin","607067","139","15.4",38.1,"110.6","90.7","81.2","94.4","89.4","406","169","387","59",42.4,"13",9.4,6.7
"Priester, Quinn","682990","138","7.4",28.3,"111.1","90.5","80.9","94.4","87.8","418","138","388","56",40.6,"9",6.5,4.7
"López, Pablo","641154","137","16.2",34.3,"116.5","87.7","76.3","91.6","85.6","414","162","407","44",32.1,"7",5.1,3.4
"Mize, Casey","663554","137","13.9",31.4,"112.5","89.8","80.2","94.6","87.6","413","159","390","54",39.4,"12",8.8,6.4
"Hancock, Emerson","676106","136","13.2",36,"112.3","88.9","78","92.7","86.7","415","155","387","51",37.5,"11",8.1,6.2
"Elder, Bryce","693821","134","7.4",26.9,"117.6","89.9","78.1","94.1","86","419","152","391","63",47,"13",9.7,7.2
"Lively, Ben","594902","134","20.4",35.1,"118","92.1","83","94.7","91.5","397","200","390","60",44.8,"14",10.4,7.9
"Megill, Tylor","656731","134","13.9",29.9,"114.7","90.2","79.5","94.2","88.8","404","156","384","60",44.8,"8",6,3.4
"Jobe, Jackson","695549","134","12.6",35.8,"111.9","88.7","77.2","94.3","85.1","436","161","391","57",42.5,"12",9,6.2
"Wilson, Bryse","669060","133","15.8",38.3,"114.3","90.5","79.2","92.2","89.5","417","177","398","57",42.9,"14",10.5,8
